epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,16,1,2,0.56122786
22,1.0,tanh,Adagrad,10,1,2,0.5176121
26,1.0,tanh,Adagrad,16,1,2,0.51382166
30,1.0,tanh,Adagrad,8,1,2,0.50241673
26,1.0,tanh,Adagrad,10,1,2,0.49877557
30,1.0,tanh,Adagrad,16,1,2,0.48095396
24,1.0,tanh,Adagrad,10,1,2,0.48036888
28,1.0,tanh,Adagrad,12,1,2,0.47295955
28,1.0,tanh,Adagrad,8,1,2,0.46874157
30,1.0,tanh,Adagrad,10,1,2,0.46843195
30,1.0,tanh,Adagrad,14,1,2,0.46578872
24,1.0,tanh,Adagrad,6,1,2,0.4601509
28,1.0,tanh,Adagrad,10,1,2,0.44808838
28,1.0,tanh,Adagrad,14,1,2,0.4474174
20,1.0,tanh,Adagrad,14,1,2,0.44697046
24,1.0,tanh,Adagrad,8,1,2,0.4454909
24,1.0,tanh,Adagrad,14,1,2,0.4437668
30,1.0,tanh,Adagrad,12,1,2,0.4398431
26,1.0,tanh,Adagrad,6,1,2,0.43272784
28,1.0,tanh,Adagrad,16,1,2,0.41897056
20,1.0,tanh,Adagrad,10,1,2,0.41426024
24,1.0,tanh,Adagrad,12,1,2,0.4092272
26,1.0,tanh,Adagrad,8,1,2,0.40797597
22,1.0,tanh,Adagrad,8,1,2,0.40464312
28,1.0,tanh,Adagrad,6,1,2,0.404362
22,1.0,tanh,Adagrad,14,1,2,0.4027932
20,1.0,tanh,Adagrad,8,1,2,0.39915046
22,1.0,tanh,Adagrad,6,1,2,0.3939781
22,1.0,tanh,Adagrad,12,1,2,0.3939644
30,1.0,tanh,Adagrad,6,1,2,0.38759023
20,1.0,tanh,Adagrad,16,1,2,0.3613721
20,1.0,tanh,Adagrad,6,1,2,0.3557505
26,1.0,tanh,Adagrad,14,1,2,0.31812626
20,1.0,tanh,Adagrad,12,1,2,0.2557346
26,1.0,tanh,Adagrad,12,1,2,0.17583773
22,1.0,tanh,Adagrad,16,1,2,0.0140373055
