epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,14,1,2,0.8553106
20,1.0,tanh,Adagrad,16,1,2,0.8530268
30,1.0,tanh,Adagrad,14,1,2,0.8463796
24,1.0,tanh,Adagrad,12,1,2,0.8397768
24,1.0,tanh,Adagrad,14,1,2,0.83767474
26,1.0,tanh,Adagrad,12,1,2,0.83398175
24,1.0,tanh,Adagrad,8,1,2,0.8320609
30,1.0,tanh,Adagrad,16,1,2,0.8272629
22,1.0,tanh,Adagrad,14,1,2,0.824077
22,1.0,tanh,Adagrad,10,1,2,0.82183075
26,1.0,tanh,Adagrad,8,1,2,0.8185819
22,1.0,tanh,Adagrad,8,1,2,0.81389004
26,1.0,tanh,Adagrad,14,1,2,0.81202066
28,1.0,tanh,Adagrad,16,1,2,0.80749315
26,1.0,tanh,Adagrad,10,1,2,0.80426455
28,1.0,tanh,Adagrad,12,1,2,0.80035156
28,1.0,tanh,Adagrad,14,1,2,0.7925553
30,1.0,tanh,Adagrad,8,1,2,0.79206884
22,1.0,tanh,Adagrad,12,1,2,0.7859678
24,1.0,tanh,Adagrad,16,1,2,0.7790268
20,1.0,tanh,Adagrad,6,1,2,0.7776337
30,1.0,tanh,Adagrad,12,1,2,0.7766855
22,1.0,tanh,Adagrad,16,1,2,0.7754257
24,1.0,tanh,Adagrad,6,1,2,0.7533479
20,1.0,tanh,Adagrad,8,1,2,0.74480754
28,1.0,tanh,Adagrad,6,1,2,0.7410903
28,1.0,tanh,Adagrad,8,1,2,0.73509896
28,1.0,tanh,Adagrad,10,1,2,0.72393304
30,1.0,tanh,Adagrad,6,1,2,0.72005427
26,1.0,tanh,Adagrad,6,1,2,0.7059467
20,1.0,tanh,Adagrad,12,1,2,0.69249827
20,1.0,tanh,Adagrad,10,1,2,0.6831008
26,1.0,tanh,Adagrad,16,1,2,0.65845513
30,1.0,tanh,Adagrad,10,1,2,0.6254993
22,1.0,tanh,Adagrad,6,1,2,0.59161186
24,1.0,tanh,Adagrad,10,1,2,0.5533803
