epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,8,1,2,0.63660467
22,1.0,tanh,Adagrad,6,1,2,0.6354366
22,1.0,tanh,Adagrad,10,1,2,0.61683667
26,1.0,tanh,Adagrad,14,1,2,0.6161273
26,1.0,tanh,Adagrad,8,1,2,0.6160612
28,1.0,tanh,Adagrad,8,1,2,0.6040936
20,1.0,tanh,Adagrad,6,1,2,0.59268767
24,1.0,tanh,Adagrad,8,1,2,0.5824246
26,1.0,tanh,Adagrad,6,1,2,0.5713212
30,1.0,tanh,Adagrad,8,1,2,0.5700978
30,1.0,tanh,Adagrad,14,1,2,0.5648727
30,1.0,tanh,Adagrad,10,1,2,0.56229556
28,1.0,tanh,Adagrad,12,1,2,0.5622485
20,1.0,tanh,Adagrad,12,1,2,0.55325556
24,1.0,tanh,Adagrad,6,1,2,0.5529901
30,1.0,tanh,Adagrad,6,1,2,0.540402
22,1.0,tanh,Adagrad,8,1,2,0.529846
26,1.0,tanh,Adagrad,10,1,2,0.51770186
20,1.0,tanh,Adagrad,10,1,2,0.51207405
24,1.0,tanh,Adagrad,10,1,2,0.5063624
28,1.0,tanh,Adagrad,6,1,2,0.48475835
22,1.0,tanh,Adagrad,14,1,2,0.4791052
28,1.0,tanh,Adagrad,16,1,2,0.43776277
24,1.0,tanh,Adagrad,12,1,2,0.38508627
28,1.0,tanh,Adagrad,14,1,2,0.3682322
26,1.0,tanh,Adagrad,12,1,2,0.35224396
22,1.0,tanh,Adagrad,12,1,2,0.34078088
30,1.0,tanh,Adagrad,12,1,2,0.27854753
28,1.0,tanh,Adagrad,10,1,2,0.25730288
24,1.0,tanh,Adagrad,16,1,2,0.086956345
20,1.0,tanh,Adagrad,14,1,2,0.027974948
26,1.0,tanh,Adagrad,16,1,2,-0.12740779
20,1.0,tanh,Adagrad,16,1,2,-0.07211918
22,1.0,tanh,Adagrad,16,1,2,-0.07123866
24,1.0,tanh,Adagrad,14,1,2,-0.07092651
30,1.0,tanh,Adagrad,16,1,2,-0.06941167
