epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,12,1,2,0.7370595
24,1.0,tanh,Adagrad,14,1,2,0.66410834
28,1.0,tanh,Adagrad,16,1,2,0.6601066
30,1.0,tanh,Adagrad,8,1,2,0.6563101
30,1.0,tanh,Adagrad,14,1,2,0.6546714
30,1.0,tanh,Adagrad,10,1,2,0.6546298
24,1.0,tanh,Adagrad,10,1,2,0.6535206
26,1.0,tanh,Adagrad,14,1,2,0.6465811
20,1.0,tanh,Adagrad,6,1,2,0.64595836
28,1.0,tanh,Adagrad,8,1,2,0.64397496
28,1.0,tanh,Adagrad,12,1,2,0.6429796
28,1.0,tanh,Adagrad,14,1,2,0.638806
30,1.0,tanh,Adagrad,12,1,2,0.63100934
28,1.0,tanh,Adagrad,6,1,2,0.63081616
22,1.0,tanh,Adagrad,12,1,2,0.62954193
26,1.0,tanh,Adagrad,12,1,2,0.6244442
20,1.0,tanh,Adagrad,16,1,2,0.6181414
22,1.0,tanh,Adagrad,16,1,2,0.6168606
22,1.0,tanh,Adagrad,14,1,2,0.6140566
30,1.0,tanh,Adagrad,16,1,2,0.6125016
26,1.0,tanh,Adagrad,10,1,2,0.60972804
20,1.0,tanh,Adagrad,12,1,2,0.6024607
24,1.0,tanh,Adagrad,16,1,2,0.60111624
26,1.0,tanh,Adagrad,16,1,2,0.59194344
22,1.0,tanh,Adagrad,10,1,2,0.5899966
24,1.0,tanh,Adagrad,8,1,2,0.5841707
26,1.0,tanh,Adagrad,6,1,2,0.58139825
22,1.0,tanh,Adagrad,6,1,2,0.57921875
20,1.0,tanh,Adagrad,10,1,2,0.57911086
30,1.0,tanh,Adagrad,6,1,2,0.5773158
22,1.0,tanh,Adagrad,8,1,2,0.57076985
24,1.0,tanh,Adagrad,6,1,2,0.5481428
20,1.0,tanh,Adagrad,8,1,2,0.51386774
26,1.0,tanh,Adagrad,8,1,2,0.51090187
28,1.0,tanh,Adagrad,10,1,2,0.48879102
20,1.0,tanh,Adagrad,14,1,2,0.34350425
