epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,6,1,2,0.8728114
20,1.0,tanh,Adagrad,8,1,2,0.8623178
28,1.0,tanh,Adagrad,6,1,2,0.85864997
26,1.0,tanh,Adagrad,14,1,2,0.8585429
28,1.0,tanh,Adagrad,10,1,2,0.8427536
20,1.0,tanh,Adagrad,10,1,2,0.8424262
30,1.0,tanh,Adagrad,10,1,2,0.83741105
26,1.0,tanh,Adagrad,10,1,2,0.8373702
26,1.0,tanh,Adagrad,8,1,2,0.8334188
22,1.0,tanh,Adagrad,16,1,2,0.8322862
20,1.0,tanh,Adagrad,14,1,2,0.82796377
28,1.0,tanh,Adagrad,12,1,2,0.810953
26,1.0,tanh,Adagrad,12,1,2,0.80744755
24,1.0,tanh,Adagrad,12,1,2,0.80589545
22,1.0,tanh,Adagrad,12,1,2,0.8044455
30,1.0,tanh,Adagrad,16,1,2,0.80283666
20,1.0,tanh,Adagrad,12,1,2,0.7801188
24,1.0,tanh,Adagrad,10,1,2,0.7775549
28,1.0,tanh,Adagrad,16,1,2,0.7771642
30,1.0,tanh,Adagrad,6,1,2,0.7748951
30,1.0,tanh,Adagrad,8,1,2,0.7728724
26,1.0,tanh,Adagrad,6,1,2,0.7726635
24,1.0,tanh,Adagrad,6,1,2,0.7585734
28,1.0,tanh,Adagrad,8,1,2,0.7585203
28,1.0,tanh,Adagrad,14,1,2,0.74127966
24,1.0,tanh,Adagrad,8,1,2,0.74063516
24,1.0,tanh,Adagrad,14,1,2,0.7332928
22,1.0,tanh,Adagrad,6,1,2,0.71604085
22,1.0,tanh,Adagrad,8,1,2,0.7127814
22,1.0,tanh,Adagrad,10,1,2,0.6953035
22,1.0,tanh,Adagrad,14,1,2,0.6755475
30,1.0,tanh,Adagrad,12,1,2,0.62186444
26,1.0,tanh,Adagrad,16,1,2,0.5761689
30,1.0,tanh,Adagrad,14,1,2,0.4976531
24,1.0,tanh,Adagrad,16,1,2,0.46533996
20,1.0,tanh,Adagrad,16,1,2,0.46054915
