epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,10,1,2,0.3451596
26,1.0,tanh,Adagrad,8,1,2,0.3335148
24,1.0,tanh,Adagrad,10,1,2,0.31734896
22,1.0,tanh,Adagrad,16,1,2,0.3141125
30,1.0,tanh,Adagrad,14,1,2,0.2969263
26,1.0,tanh,Adagrad,14,1,2,0.20585017
28,1.0,tanh,Adagrad,14,1,2,0.16251004
24,1.0,tanh,Adagrad,6,1,2,0.15820725
22,1.0,tanh,Adagrad,10,1,2,0.11375787
28,1.0,tanh,Adagrad,10,1,2,0.10520963
30,1.0,tanh,Adagrad,16,1,2,0.10112786
30,1.0,tanh,Adagrad,12,1,2,0.08627267
20,1.0,tanh,Adagrad,6,1,2,0.07169383
28,1.0,tanh,Adagrad,16,1,2,0.06643661
20,1.0,tanh,Adagrad,14,1,2,0.013739588
26,1.0,tanh,Adagrad,10,1,2,-0.7514208
28,1.0,tanh,Adagrad,6,1,2,-0.7180833
24,1.0,tanh,Adagrad,12,1,2,-0.6588706
22,1.0,tanh,Adagrad,8,1,2,-0.5427153
22,1.0,tanh,Adagrad,6,1,2,-0.52723545
26,1.0,tanh,Adagrad,16,1,2,-0.49359185
30,1.0,tanh,Adagrad,10,1,2,-0.46354643
22,1.0,tanh,Adagrad,12,1,2,-0.44138852
24,1.0,tanh,Adagrad,14,1,2,-0.40526134
28,1.0,tanh,Adagrad,12,1,2,-0.37252745
30,1.0,tanh,Adagrad,6,1,2,-0.31026962
20,1.0,tanh,Adagrad,16,1,2,-0.30225503
26,1.0,tanh,Adagrad,6,1,2,-0.2742981
20,1.0,tanh,Adagrad,12,1,2,-0.24594593
30,1.0,tanh,Adagrad,8,1,2,-0.23118904
28,1.0,tanh,Adagrad,8,1,2,-0.22251272
22,1.0,tanh,Adagrad,14,1,2,-0.16199057
24,1.0,tanh,Adagrad,8,1,2,-0.14043304
26,1.0,tanh,Adagrad,12,1,2,-0.10893422
24,1.0,tanh,Adagrad,16,1,2,-0.0224149
20,1.0,tanh,Adagrad,8,1,2,-0.0053741946
